"s","l","n"
"http://dbpedia.org/resource/Woolworths_Holdings_Limited","http://dbpedia.org/resource/South_Africa",46000
"http://dbpedia.org/resource/Smurfit_Kappa","http://dbpedia.org/resource/Ireland",46000
"http://dbpedia.org/resource/Allstate","http://dbpedia.org/resource/United_States",45780
"http://dbpedia.org/resource/Persol_Holdings","http://dbpedia.org/resource/Japan",45180
"http://dbpedia.org/resource/Cosan","http://dbpedia.org/resource/Brazil",45000
"http://dbpedia.org/resource/Corporación_Multi_Inversiones","http://dbpedia.org/resource/Guatemala",45000
"http://dbpedia.org/resource/Dekra","http://dbpedia.org/resource/Germany",45000
"http://dbpedia.org/resource/Ageas","http://dbpedia.org/resource/Belgium",45000
"http://dbpedia.org/resource/RPSG_Group","http://dbpedia.org/resource/India",45000
"http://dbpedia.org/resource/Thai_Life_Insurance","http://dbpedia.org/resource/Thailand",45000
"http://dbpedia.org/resource/Jim_Pattison_Group","http://dbpedia.org/resource/British_Columbia",45000
"http://dbpedia.org/resource/Japan_Tobacco_International","http://dbpedia.org/resource/Switzerland",45000
